14029	355	483	371	511	2
14030	390	483	406	511	2
14031	253	1409	281	1439	2

#FALLING-RIGHT-LEFT-WHILE-FLYING
14033	45	1407	73	1437	2
14032	253	1409	281	1439	2

############ SMALL ################
 #IDLE
12121	247	0	261	16	0
12111	187	0	201	16	0

#WALK RIGHT
12222	275	0	293	16	0
12223	306	0	322	16	0

#WALK LEFT
12212	155	0	171	16	0
12213	125	0	141	16	0

#RUN RIGHT
12321	275	0	291	16	0
12322	306	0	322	16	0
12323	335	0	351	16	0

#RUN LEFT
12311	155	0	171	16	0
12312	125	0	141	16	0
12313	95	0	111	16	0

#BRACE RIGHT & LEFT
12511	6	0	20	16	0
12521	426	0	440	16	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	51	96	0
12417	395	80	411	96	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	81	56	0
12427	365	40	381	56	0



########################################################################################################
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

# HOLDING KOOPAS
#IDLE RIGHT
1002	11612	100
#IDLE LEFT
1003	11613	100
#WALKING RIGHT
1004	11612	100	11614	100	11615	100
#WALKING LEFT
1005	11613	100	11616	100	11617	100
#JUMP RIGHT
1006	11615	100
#JUMP RIGHT
1007	11617	100

# KICK KOOPAS RIGHT
1008	11618	100
# KICK KOOPAS LEFT
1009	11619	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

# animation
################### TAIL #################
# IDLE
3100	12151	100
3102	12161	100

#3100	2421	100
#3102	2423	100

#WALK LEFT & RIGHT 
3200	12151	100	12252	100	12253	100
3202	12151	50	12252	50	12253	50
3201	12161	100	12262	100	12263	100
3203	12161	50	12262	50	12263	50

#RUN LEFT & RIGHT
3300	12351	50	12352	50	12353	50
3301	12361	50	12362	50	12363	50

#BRACE LEFT & RIGHT
3401	12564	100
3400	12554	100

#JUMP UP RIGHT
3500	12457	100
#JUMP DOWN RIGHT
3501	12458	100
#JUMP UP LEFT
3502	12468	100
#JUMP DOWN LEFT
3503	12467	100

#JUMP RUN RIGHT 
3600	2420	100
3601	2421	100

#JUMP RUN LEFT 
3602	2422	100
3603	2423	100

#SIT RIGHT & LEFT 
3900	12551	100
3901	12561	100

# PIPING
-2000	12590	100

# KICKING r / left
-2010	12691	100
-2011	12692	100

#ATTACK-RIGHT&LEFT
19180	14028	50	14029	50	14031	50	14030	50	14028	50
19190	14032	50	14029	50	14033	50	14030	50	14032	50
